zagreb-ljubljana, 2, 1
ljubljana-bled, 1,1
bled-triglavski, 4,1
triglavski-soca, 1.5,1
soca-predjama, 1.5, 1
predjama-trieste, 1, 1
trieste-piran, 1, 1
piran-pula, 1.5, 1
pula-paklenica, 5,1
pklencia-trogil, 2,1
trogil-split, .5,1
split-sinj, .5,1
sinj-svilaja, 1,1
svilaja-dinara, 1,1
dinara-plitvcka, 2, 1
plitvcka-zagreb, 2, 1
